	M1	M2	M3	M4	M5	M13	M9	M12	M11	M8	M10	M7	M6	M14	M15	M16	M19	M18	M17	M21	M90	M20	M26	M22	M24	M23	M25	M27	M28	M29	M31	M32	M33	M34	M35	M36	M37	M38	M39	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M51	M50	M52	M55	M54	M53	M57	M56	M59	M58	M82	M61	M60	M63	M62	M66	M65	M69	M70	M71	M72	M73	M75	M76	M77	M78	M79	M80	M81	M83	M84	M85	M86	M87	M88	M98	M97	M96	M95	M94	M93	M92	
1	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	1	1	1	1	1	1	2	2	2	2	1	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	1	2	1	1	2	2	1	1	2	2	1	2	2	2	1	2	1	2	1	1	2	2	2	1	1	1	1	1	1	2	2	1	2	2	1	2	2	1	2	2	1	2	2	2	2	2	2	2
2	2	2	2	1	2	1	1	1	1	1	1	2	2	1	1	1	2	2	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	1	2	2	2	1	2	1	2	1	1	1	1	1	2	2	1	1	2	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2
3	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	2	1	2	1	2	2	1	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1	2	1	1	1	1	2	2	2	2	2	1	1	1	2	2	2	2	1	2	2	2	2	2	2	2
4	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	2	1	1
5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1
6	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	2	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1
7	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	2	2	2	2	1	1	1	1	1	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1
8	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	2	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	2	2	2	2	1	2	1	1	1	2	2	2	2
9	1	1	2	2	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	2	2	1	1	2	1
10	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	1	2	1	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	2	2	1	2	2
